rad,str,cp,char
1,13,196635,𰀛
1,13,196636,𰀜
1,13,201573,𱍥
1,14,19894,䶶
1,14,131155,𠁓
1,14,131156,𠁔
1,14,178238,𫠾
1,14,178239,𫠿
1,14,184048,𬻰
1,14,196637,𰀝
1,14,201574,𱍦
1,14,201575,𱍧
1,15,131157,𠁕
1,15,131159,𠁗
1,15,131160,𠁘
1,15,131161,𠁙
1,15,131162,𠁚
1,15,131163,𠁛
1,15,131165,𠁝
1,15,150735,𤳏
1,15,173831,𪜇
1,15,178240,𫡀
1,15,201576,𱍨
1,16,131158,𠁖
1,16,196638,𰀞
1,16,201577,𱍩
1,17,131167,𠁟
1,17,178241,𫡁
1,17,178242,𫡂
1,17,205753,𲎹
1,19,131168,𠁠
1,19,196639,𰀟
1,21,184049,𬻱
1,24,201578,𱍪
2,0,20008,丨
2,1,20009,丩
2,1,131169,𠁡
2,1,131170,𠁢
2,2,13315,㐃
2,2,13316,㐄
2,2,20010,个
2,2,20011,丫
2,2,178243,𫡃
2,2,178244,𫡄
2,2,196640,𰀠
2,2,201579,𱍫
2,3,20013,中
2,3,20014,丮
2,3,20015,丯
2,3,20016,丰
2,3,131171,𠁣
2,3,173832,𪜈
2,3,178245,𫡅
2,3,196641,𰀡
2,4,20017,丱
2,4,131173,𠁥
2,4,196642,𰀢
2,4,205754,𲎺
2,5,131174,𠁦
2,5,184050,𬻲
2,5,184051,𬻳
2,5,196643,𰀣
2,5,201580,𱍬
2,6,20018,串
2,6,63749,串
2,6,131175,𠁧
2,6,131176,𠁨
2,6,178246,𫡆
2,7,20019,丳
2,7,131177,𠁩
2,7,131178,𠁪
2,7,131179,𠁫
2,7,131180,𠁬
2,7,178247,𫡇
2,7,196644,𰀤
2,7,201581,𱍭
2,7,201582,𱍮
2,7,201583,𱍯
2,7,201584,𱍰
2,8,20020,临
2,8,131181,𠁭
2,8,131182,𠁮
2,8,131183,𠁯
2,8,146834,𣶒
2,8,173833,𪜉
2,8,184052,𬻴
2,8,196645,𰀥
2,8,205755,𲎻
2,9,20021,丵
2,9,131184,𠁰
2,9,131185,𠁱
2,9,178248,𫡈
2,9,178249,𫡉
2,9,184053,𬻵
2,9,184054,𬻶
2,9,184055,𬻷
2,9,196646,𰀦
2,9,196647,𰀧
2,9,201585,𱍱
2,9,201586,𱍲
2,9,201587,𱍳
2,10,131187,𠁳
2,10,201588,𱍴
2,10,205756,𲎼
2,11,131188,𠁴
2,11,131189,𠁵
2,11,201589,𱍵
2,11,205757,𲎽
2,12,184056,𬻸
2,12,184057,𬻹
2,13,131190,𠁶
2,13,178250,𫡊
2,14,131192,𠁸
2,14,178251,𫡋
2,14,178252,𫡌
2,16,201590,𱍶
2,17,131193,𠁹
2,17,196648,𰀨
2,17,205758,𲎾
2,18,131194,𠁺
2,19,178253,𫡍
2,21,131195,𠁻
2,21,178254,𫡎
3,0,20022,丶
3,1,20023,丷
3,1,173834,𪜊
3,2,20024,丸
3,2,20041,义
3,2,131196,𠁼
3,2,131197,𠁽
3,2,184058,𬻺
3,2,194561,丸
3,3,20025,丹
3,3,20026,为
3,3,63838,丹
3,3,131199,𠁿
3,3,201591,𱍷
3,4,20027,主
3,4,20028,丼
3,4,131200,𠂀
3,4,131201,𠂁
3,4,191473,𮯱
3,5,131202,𠂂
3,5,184059,𬻻
3,7,173835,𪜋
3,8,20030,举
3,8,184060,𬻼
3,9,131203,𠂃
3,9,196649,𰀩
3,10,184061,𬻽
3,12,131204,𠂄
3,14,184062,𬻾
3,15,131205,𠂅
4,0,20031,丿
4,0,20032,乀
4,0,20033,乁
4,0,194562,乁
4,1,13317,㐅
4,1,20034,乂
4,1,20035,乃
4,1,20036,乄
4,1,131206,𠂆
4,1,131207,𠂇
4,1,131208,𠂈
4,1,131209,𠂉
4,1,131210,𠂊
4,1,184063,𬻿
4,1,184064,𬼀
4,1,184065,𬼁
4,1,184066,𬼂
4,1,196650,𰀪
4,1,196651,𰀫
4,2,20037,久
4,2,20038,乆
4,2,20039,乇
4,2,20040,么
4,2,20042,乊
4,2,131211,𠂋
4,2,131212,𠂌
4,2,131213,𠂍
4,2,131214,𠂎
4,2,177988,𫝄
4,2,178255,𫡏
4,2,184067,𬼃
4,2,184068,𬼄
4,2,201592,𱍸
4,2,201593,𱍹
4,3,20043,之
4,3,20044,乌
4,3,23609,尹
4,3,131215,𠂏
4,3,131216,𠂐
4,3,131217,𠂑
4,3,131218,𠂒
4,3,131219,𠂓
4,3,177973,𫜵
4,3,184069,𬼅
4,3,184070,𬼆
4,3,191474,𮯲
4,4,20045,乍
4,4,20046,乎
4,4,20047,乏
4,4,20048,乐
4,4,131220,𠂔
4,4,131221,𠂕
4,4,131222,𠂖
4,4,131223,𠂗
4,4,131224,𠂘
4,4,131225,𠂙
4,4,131226,𠂚
4,4,131227,𠂛
4,4,131228,𠂜
4,4,131229,𠂝
4,4,131230,𠂞
4,4,131231,𠂟
4,4,131232,𠂠
4,4,131233,𠂡
4,4,178256,𫡐
4,4,184071,𬼇
4,4,184072,𬼈
4,4,196652,𰀬
4,4,201594,𱍺
4,4,205759,𲎿
4,5,13318,㐆
4,5,20049,乑
4,5,20050,乒
4,5,20051,乓
4,5,20052,乔
4,5,131234,𠂢
4,5,131235,𠂣
4,5,131236,𠂤
4,5,131237,𠂥
4,5,131238,𠂦
4,5,131239,𠂧
4,5,131241,𠂩
4,5,131242,𠂪
4,5,131243,𠂫
4,5,131245,𠂭
4,5,173836,𪜌
4,5,178257,𫡑
4,5,178258,𫡒
4,5,178259,𫡓
4,5,184073,𬼉
4,5,201595,𱍻
4,5,205760,𲏀
4,5,205761,𲏁
4,6,20053,乕
4,6,131247,𠂯
4,6,178260,𫡔
4,6,184074,𬼊
4,6,201596,𱍼
4,6,205762,𲏂
4,7,20054,乖
4,7,131250,𠂲
4,7,131251,𠂳
4,7,131254,𠂶
4,7,178261,𫡕
4,7,178262,𫡖
4,7,178263,𫡗
4,7,178264,𫡘
4,7,184075,𬼋
4,8,20055,乗
4,8,131252,𠂴
4,8,131255,𠂷
4,8,173837,𪜍
4,8,178265,𫡙
4,8,178266,𫡚
4,9,20056,乘
4,9,131257,𠂹
4,9,131258,𠂺
4,9,131259,𠂻
4,9,131260,𠂼
4,9,131261,𠂽
4,9,131262,𠂾
4,9,173838,𪜎
4,9,173839,𪜏
4,9,178267,𫡛
4,9,178268,𫡜
4,9,184076,𬼌
4,9,184077,𬼍
4,9,184078,𬼎
4,9,184079,𬼏
4,9,201597,𱍽
4,10,131263,𠂿
4,10,131264,𠃀
4,10,131265,𠃁
4,10,131266,𠃂
4,10,178269,𫡝
4,10,184080,𬼐
4,10,205763,𲏃
4,11,131267,𠃃
4,11,131268,𠃄
4,11,178270,𫡞
4,11,196653,𰀭
4,11,196654,𰀮
4,11,196655,𰀯
4,11,205764,𲏄
4,11,205765,𲏅
4,12,131270,𠃆
4,12,201598,𱍾
4,13,131269,𠃅
4,13,184081,𬼑
4,13,201599,𱍿
4,14,131271,𠃇
4,14,178271,𫡟
4,14,178272,𫡠
4,14,184082,𬼒
4,15,184083,𬼓
4,15,184084,𬼔
4,21,184085,𬼕
4,22,131272,𠃈
4,27,178273,𫡡
5,0,20057,乙
5,0,20058,乚
5,0,20059,乛
5,0,131273,𠃉
5,0,131274,𠃊
5,0,131275,𠃋
5,0,131276,𠃌
5,0,131277,𠃍
5,0,131278,𠃎
5,0,131281,𠃑
5,1,20060,乜
5,1,20061,九
5,1,40884,龴
5,1,131279,𠃏
5,1,131280,𠃐
5,1,205766,𲏆
5,2,13319,㐇
5,2,13320,㐈
5,2,13321,㐉
5,2,20062,乞
5,2,20063,也
5,2,20064,习
5,2,131282,𠃒
5,2,131283,𠃓
5,2,131284,𠃔
5,2,184086,𬼖
5,2,196656,𰀰
5,2,205767,𲏇
5,3,13322,㐊
5,3,13323,㐋
5,3,20067,乣
5,3,20068,乤
5,3,20069,乥
5,3,20070,书
5,3,131198,𠁾
5,3,131285,𠃕
5,3,131286,𠃖
5,3,131287,𠃗
5,3,131288,𠃘
5,3,131289,𠃙
5,3,131290,𠃚
5,3,131291,𠃛
5,3,131292,𠃜
5,3,131293,𠃝
5,3,178274,𫡢
5,3,184087,𬼗
5,3,184088,𬼘
5,3,196657,𰀱
5,3,201600,𱎀
5,3,205768,𲏈
5,3,205769,𲏉
5,3,205770,𲏊
5,4,13324,㐌
5,4,13325,㐍
5,4,13326,㐎
5,4,13327,㐏
5,4,20071,乧
5,4,131294,𠃞
5,4,131295,𠃟
5,4,131296,𠃠
5,4,131297,𠃡
5,4,131298,𠃢
5,4,131299,𠃣
5,4,173840,𪜐
5,4,178275,𫡣
5,4,184089,𬼙
5,4,184090,𬼚
5,4,184091,𬼛
5,4,184092,𬼜
5,4,196658,𰀲
5,4,196659,𰀳
5,4,196660,𰀴
5,4,196661,𰀵
5,4,201601,𱎁
5,4,205771,𲏋
5,4,205772,𲏌
5,4,205773,𲏍
5,4,205774,𲏎
5,4,205775,𲏏
5,4,205776,𲏐
5,4,205777,𲏑
5,4,205778,𲏒
5,5,13328,㐐
5,5,13329,㐑
5,5,13330,㐒
5,5,13331,㐓
5,5,13332,㐔
5,5,13333,㐕
5,5,20072,乨
5,5,20073,乩
5,5,20074,乪
5,5,20075,乫
5,5,20076,乬
5,5,20077,乭
5,5,20078,乮
5,5,20079,乯
5,5,20080,买
5,5,131300,𠃤
5,5,131301,𠃥
5,5,131302,𠃦
5,5,131303,𠃧
5,5,131304,𠃨
5,5,173841,𪜑
5,5,178276,𫡤
5,5,184093,𬼝
5,5,184094,𬼞
5,5,184095,𬼟
5,5,184096,𬼠
5,5,184097,𬼡
5,5,184098,𬼢
5,5,196662,𰀶
5,5,196663,𰀷
5,5,196664,𰀸
5,5,196665,𰀹
5,5,196666,𰀺
5,5,196667,𰀻
5,5,196668,𰀼
5,5,201602,𱎂
5,5,201603,𱎃
5,5,205779,𲏓
5,5,205780,𲏔
5,5,205781,𲏕
